CAP;Comune;Abitanti;Denominazione;Indirizzo;Proprieta;ComplessoSportivo;CodiceTipologiaImpianto;ImpiantoCoperto: Si/No;Lunghezza;Larghezza;Altezza;ProfonditaMinima(Piscina);ProfonditaMassima(Piscina);SpogliatoiAtleti;ServiziDiversamenteAbili;SpogliatogliArbitri;NumeroSpettatori;ServiziIgieniciSpettatori;ServiziIgieniciSpettatoriDiversamenteAbili;AdeguatoNormeDiSicurezza;Illuminazione;Parcheggi;RealizzatoFunzionante: Si/No;RealizzatoFunzionanteOmologato: Si/No
;;;Palestra;;;;190;;;;;;;;;;;;;;;;;
81100;;;COMPLESSO SPORTIVO;V.le Michelangelo - tel. 0823325088;Pubblica;Si;;;;;;;;;;;;;;;;;;
;;;ITG Buonarroti;;;;150;Si;36;24;7;;;Si;;Si;400;Si;;Si;Si;Si;Si;Si
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
;;;Pista ad anello (atletica);;;;12;No;150;7;;;;Si;;Si;;;;Si;;Si;Si;No
81100;;;ITIS Giordani;Via Laviano - tel. 0823278101;Pubblica;;150;Si;32;18;7;;;Si;;Si;200;Si;;Si;Si;Si;Si;Si
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
81100;;;IPC Mattei;Via Settembrini - tel. 0823328766;Pubblica;;170;Si;25;12;8;;;Si;;Si;;;;Si;Si;Si;Si;Si
81100;;;Ist. D'Arte S. Leucio;Via Sannitica - tel. 0823303971;Pubblica;;170;Si;36;10;6;;;Si;;Si;;;;;;;Si;No
81100;;;Pala Vignola;Via Talamonti;Comune;;180;;;;;;;;;;;;;;;;;
81100;;;Campo di Basket Nike;Via G.M.Bosco;Comune;;150;;;;;;;;;;;;;;;;;
81100;;;Campo calcetto;Via Montagna;Comune;;40;;;;;;;;;;;;;;;;;
81100;;;Tennis Club;Via Laviano;Comune;;320;;;;;;;;;;;;;;;;;
81100;;;Campi calcetto IPERION;Via Borsellino;Comune;;40;;;;;;;;;;;;;;;;;
81100;;;Palestra S.M.S. Ungaretti;P.co degli Aranci;Comune;;190;;;;;;;;;;;;;;;;;
81100;;;Campo calcetto;Via Laviano;Comune;;40;;;;;;;;;;;;;;;;;
81100;;;PlayGround Gentile ;Via G.M.Bosco;Comune;;;;;;;;;;;;;;;;;;;
81100;;;Palestra;;;;190;;;;;;;;;;;;;;;;Si;No
81010;CASTEL CAMPAGNANO;1.627;Campo di calcio;Via A. Marino;Pubblica;;30;No;100;60;;;;Si;;Si;100;Si;;Si;Si;;Si;No
81010;;;Campo di calcetto;Via Pietra dei Monaci;Pubblica;;40;No;40;20;;;;Si;;Si;;;;Si;Si;Si;Si;No
81010;;;Scuola Media Pascoli;Via Roma;Pubblica;;170;Si;25;12;6;;;Si;;Si;;;;;;;Si;No
;;;Palestra;;;;190;;;;;;;;;;;;;;;;;
81040;CASTEL  DI  SASSO;1.193;Campo di Calcio;Via San Marco;Pubblica;;30;No;106;66;;;;Si;;Si;;;;Si;;;Si;Si
81020;CASTEL MORRONE;3.985;Bocciofilo 2000;Strada Prov.le - tel. 0823399711;Privata;;60;Si;28;3;6;;;Si;;Si;;;;Si;Si;Si;Si;Si
81020;;;Campi di bocce;Villa comunale;Pubblica;;60;No;25;3,5;;;;Si;;Si;;;;;;;Si;No
81020;;;Campo comunale Cappiello;Strada Prov.le;Pubblica;;30;No;105;50;;;;Si;Si;Si;;;;Si;;Si;Si;Si
81020;;;COMPLESSO SPORTIVO;Via Prov.le - tel. 0823390059;Pubblica;Si;;;;;;;;;;;;;;;;;;
;;;Sc. med. Giovanni SiXIII°: Basket;;;;150;No;29;18;;;;Si;;Si;;;;Si;Si;Si;Si;No
;;;Palestra;;;;190;Si;25;13;8;;;Si;;Si;;;;;Si;Si;Si;No
81020;;;Palamaggiò: Pallacanestro;Via S.S. Sannitica;Pubblica;;150;Si;40;20;15;;;Si;;Si;7.000;Si;Si;Si;Si;Si;Si;Si
;;;Pallamano;;;;160;;;;;;;;;;;;;;;;;
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
80053;;;Polivalente;Viale Puglia, 8;Pubblica;;180;;;;;;;;;;;;;;;;;
80053;;;Polivalente;Trav. Cantieri Mewtallurgici;Pubblica;;180;;;;;;;;;;;;;;;;;
80053;;;Calcio/5;Trav. Cantieri Mercantili;Pubblica;;40;;;;;;;;;;;;;;;;;
81016;CASTELLO DEL MATESE;1.476;Campo di calcio;Via Cluvia - tel. 0823764684;Pubblica;;30;No;100;50;;;;Si;;Si;800;Si;;;Si;;Si;Si
81016;;;Tendostruttura;Via Chiesa Madre, 19;Pubblica;;150;Si;30;15;7;;;Si;Si;Si;100;Si;Si;Si;Si;Si;Si;Si
81016;;;Pista sci di fondo;Loc. Pozzacchio-Castello del Matese;Pubblica;;282;No;7.500,00;;;;;Si;;Si;;;;Si;;Si;Si;Si
81030;CASTEL  VOLTURNO;18.654;Palestra ;Via Canale Occid.-tel.0823769111;Pubblica;;150;Si;26;14;7;;;Si;Si;Si;200;Si;Si;Si;Si;Si;Si;Si
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
81030;;;Campo sportivo;Via Canale Occid.-tel.0823856176;Pubblica;;30;No;105;60;;;;Si;Si;Si;400;Si;;;;Si;Si;Si
81030;;;Scuola Elementare I° Circ.;v. Nuova Occidentale-tel.0823736223;Pubblica;;190;Si;17;12;5;;;Si;;Si;;;;;Si;;Si;No
81030;;;COMPLESSO SPORTIVO;Via S. Rocco - tel.0823763167;Pubblica;Si;;;;;;;;;;;;;;;;;;
;;;Sc. Media Garibaldi: Pallacanestro;;;;150;Si;26;16;5;;;Si;;Si;;;;;Si;;Si;No
;;;Pallavolo;;;;170;Si;25;12;7;;;Si;;Si;;;;;Si;;Si;No
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
81030;CELLOLE;7.138;COMPLESSO SPORTIVO;Via Milano - tel. 0823703113;Pubblica;Si;;;;;;;;;;;;;;;;;;
;;;Piscina;;;;200;Si;25;12,5;4;;;Si;Si;Si;300;Si;Si;;;Si;No;No
;;;Stadio comunale: Calcio;;;;30;No;100;60;;;;Si;Si;Si;3.000;Si;Si;Si;Si;Si;Si;Si
81030;;;Sc. Media Fermi: Pallavolo;Via Umberto I° - tel. 0823933206;Pubblica;;170;Si;24;15;6;;;Si;;Si;;;;Si;Si;Si;Si;No
;;;Palestra;;;;190;;;;;;;;;;;;;;;;;
81023;CERVINO;5.015;Campo sportivo;Via Pascarella - tel. 0823411441;Pubblica;;30;No;105;60;;;;Si;Si;Si;1.000;Si;Si;Si;Si;Si;Si;Si
81023;;;Bocciofilo Madonna delle G.;Via Forchia, 1 - tel. 0823311379;Pubblica;;60;Si;28;3,8;4,5;;;Si;Si;Si;100;Si;Si;Si;Si;Si;Si;Si
81023;;;Scuola Media Fermi;Via Cervino - tel. 0823312655;Pubblica;;170;Si;24;12;5;;;Si;;Si;;;;Si;Si;Si;Si;No
;;;Palestra;;;;190;;;;;;;;;;;;;;;;;
81030;CESA;7.459;Campo di calcio;Localita' Calcarella;Pubblica;;30;No;105;65;;;;Si;;Si;500;Si;;;;Si;Si;Si
81030;;;Scuola Media F. Bagno;Via I° Maggio - tel. 0818112419;Pubblica;;150;Si;32;16;6;;;Si;;Si;;;;;Si;;Si;No
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;Si;No
81030;;;Scuola Elementare;Via Campostrino - tel. 0818908470;Pubblica;;150;Si;32;16;6;;;Si;;Si;;;;;Si;;Si;No
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;Si;No
81010;CIORLANO;524;Campo di calcio;Loc. Casale - tel. 0823944065;Pubblica;;30;No;95;45;;;;Si;;Si;;;;;Si;Si;Si;No
81044;CONCA  DELLA  CAMP.;1.390;Campo polivalente;Via Estagli - tel. 0823923094;Pubblica;;170;No;28;15;;;;Si;;Si;;;;;;Si;Si;No
81040;CURTI;6.998;Campo di calcio;Via Manzoni - tel. 0823842648;Pubblica;;30;No;100;60;;;;Si;Si;Si;330;Si;Si;Si;;Si;Si;Si
81040;;;Scuola Media Mameli;Via Dante - tel. 0823843578;Pubblica;;170;Si;24;13,5;7;;;Si;Si;Si;;;;Si;Si;Si;Si;No
;;;Palestra;;;;190;;;;;;;;;;;;;;;;;
81010;DRAGONI;2.108;COMPLESSO SPORTIVO;Via Nazionale - tel. 0823866221;Pubblica;Si;;;;;;;;;;;;;;;;;;
;;;Campo comunale Bocce;;;;60;No;28;2,2;;;;Si;;Si;;;;Si;Si;Si;Si;No
;;;Campo Calcio comunale;;;;30;No;90;45;;;;Si;;Si;;;;;;Si;Si;No
81010;;;Comunale calcio;Font. Maiorano di Monte-0823866221;Pubblica;;30;No;100;50;;;;Si;;Si;;;;;;Si;Si;No
81030;FALCIANO DEL MASSICO;3.827;Campo comunale;Via Tiglio - tel. 0823931242;Pubblica;;30;No;110;70;;;;Si;;Si;;;;;Si;;Si;Si
81014;FONTEGRECA;857;Campo comunale;Via Provinciale;Pubblica;;30;No;100;60;;;;Si;;Si;;;;;;;Si;No
81040;FORMICOLA;1.466;Campo comunale;Via Campo sportivo;Pubblica;;30;No;94;50;;;;Si;Si;Si;;;;Si;;Si;Si;Si
81040;;;Scuola Media V. Pisa;Via G. Cantiello - tel. 0823876016;Pubblica;;170;Si;25;14;7;;;Si;;Si;;;;;Si;;Si;No
;;;Palestra;;;;190;;;;;;;;;;;;;;;;;
81040;;;Scuola Elementare;Via G. Cantiello ;Pubblica;;170;Si;26;12;6,5;;;Si;;Si;;;;;;;Si;No
;;;Palestra;;;;190;;;;;;;;;;;;;;;;;
81040;;;COMPLESSO SPORTIVO;Via Case Sparse;Pubblica;Si;;;;;;;;;;;;;;;;;;
;;;Campo Calcio;;;;30;No;100;50;;;;Si;Si;Si;350;Si;;Si;;Si;Si;Si
;;;Tennis;;;;320;No;22;13;;;;Si;;Si;;;;;;Si;Si;No
81050;FRANCOLISE;4.846;Campo comunale;Via Campo sportivo  tel. 0823877002;Pubblica;;30;No;94;50;;;;Si;;Si;;;;;;Si;Si;No
81050;;;Stadio comunale;Via N. Bixio - tel. 0823877002;Pubblica;;30;No;103;64;;;;Si;;Si;;;;;;;Si;Si
81030;FRIGNANO;8.507;Scuola Media Tozzi;P.zza Mazzini - tel. 0815042376;Pubblica;;170;Si;30;13;6;;;Si;;Si;;;;Si;;;Si;No
;;;Palestra;;;;190;;;;;;;;;;;;;;;;;
81030;;;Scuola Elementare;Via IV Novembre - tel.0818909036;Pubblica;;170;Si;24;12;6;;;Si;;Si;;;;;;;Si;No
;;;Palestra;;;;190;;;;;;;;;;;;;;;;Si;No
81030;;;Stadio comunale;Via N. Bixio;Pubblica;;30;No;103;64;;;;Si;Si;Si;;;;Si;;Si;Si;Si
;GALLO;761;COMPLESSO SPORTIVO;;Pubblica;Si;;;;;;;;;;;;;;;;;;
81010;;;Impianto polivalente;Via Piazza;Pubblica;;320;No;37,56;18,29;;;;Si;;Si;;;;;;Si;Si;No
81010;;;Impianto polivalente;Via Piazza;Pubblica;;150;No;32;19;;;;Si;;Si;;;;;;Si;Si;No
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;Si;No
81010;;;Impianto polivalente;Via Piazza;Pubblica;;30;No;45;90;;;;Si;;Si;;;;;;Si;Si;No
81044;GALLUCCIO;2.384;COMPLESSO SPORTIVO;Prov.le Galluccio/Conca-0823923094;Pubblica;Si;;;;;;;;;;;;;;;;;;
;;;Piscina copribile;;;;200;Si;25;12,5;4;;;Si;;Si;;;;;;Si;Si;Si
;;;Calcio a 5;;;;40;No;39;19;;;;Si;Si;Si;;;;Si;Si;Si;Si;Si
;;;Tennis;;;;320;No;40;20;;;;Si;Si;Si;;;;Si;Si;Si;Si;Si
;;;Pallavolo;;;;170;No;24;15;;;;Si;Si;Si;;;;Si;;Si;Si;Si
81044;;;COMPLESSO SPORTIVO;Via Matteotti loc. Torazzi;Pubblica;Si;;;;;;;;;;;;;;;;;;
;;;Complesso sportivo Matteotti: Calcio;;;;30;No;108;62,5;;;;Si;Si;Si;;;;Si;;Si;Si;Si
;;;Pallacanestro;;;;150;No;30;18;;;;Si;;Si;;;;;;;Si;No
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;Si;No
;;;Complesso sportivo Matteotti;;;;320;No;36;18;;;;Si;;Si;;;;Si;;;Si;No
81044;;;Scuola Media G.A. Campano;Via Mazzini, 36;Pubblica;;190;Si;11,9;23,8;4,9;;;Si;;Si;;;;;Si;Si;Si;No
81044;;;Polvalente;Fraz. S. Clemente;Pubblica;;180;;;;;;;;;;;;;;;;;
81044;;;Calcio a 5;Fraz. Spicciano;Pubblica;;40;;;;;;;;;;;;;;;;;
81044;;;Calcio a 5;Fraz. S. Clemente;Pubblica;;40;;;;;;;;;;;;;;;;;
81042;GIANO  VETUSTO;652;Polivalente;Viale Progresso - tel. 0823654264;Pubblica;;40;No;40;20;;;;Si;Si;Si;60;Si;;;;Si;Si;Si
;;;Tennis;;;;320;;;;;;;;;;;;;;;;;
81042;;;Campo comunale;Via Provinciale per Calvi;Pubblica;;30;No;90;45;;;;Si;;Si;;;;;;Si;Si;No
81010;GIOIA  SANNITICA;3.697;Campo sportivo S. Michele;Via Trivio;Pubblica;;30;No;91;46;;;;Si;Si;Si;;;;Si;;Si;Si;Si
81010;;;Scuola Media;Via Vicinato - tel. 0823915019;Pubblica;;170;Si;24;12;6;;;Si;Si;Si;;;;;Si;;Si;No
;;;Palestra;;;;190;;;;;;;;;;;;;;;;Si;No
81046;GRAZZANISE;6.821;Campo di calcio;Via Motta;Pubblica;;30;No;100;60;;;;Si;Si;Si;200;Si;;Si;Si;Si;Si;No
81046;;;Campo polivalente coperto;Via Torretta;Pubblica;;150;Si;35,2;24,2;7;;;Si;Si;Si;100;Si;Si;Si;Si;Si;Si;No
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
81046;;;Scuola Elementare;Via Diaz - tel. 0823991837;Pubblica;;190;Si;20;12;6;;;Si;;Si;;;;;;;Si;No
81046;;;Scuola Media Gravante;Via Montevergine - tel. 0823964695;Pubblica;;170;Si;40;12;7;;;Si;;Si;;;;;Si;;Si;No
;;;Palestra;;;;190;;;;;;;;;;;;;;;;Si;No
81030;GRICIGNANO D'AVERSA;8.903;Campo di calcio;Corso Umberto - tel. 0818131113;Pubblica;;30;No;106;60;;;;Si;Si;Si;700;Si;;Si;;;Si;Si
81030;;;COMPLESSO SPORTIVO;Via D'Annunzio - tel. 0818131352;Pubblica;Si;;;;;;;;;;;;;;;;;;
;;;Scuola Media Pascoli: Palestra;;;;190;Si;11,2;8;4;;;Si;;Si;;;;;Si;;Si;No
;;;Pallavolo;;;;170;No;24;15,3;;;;Si;;Si;;;;;;;Si;No
81030;;;COMPLESSO SPORTIVO;;Pubblica;Si;;;;;;;;;;;;;;;;;;
;;;Complesso NATO: Calcio;;;;30;No;100;60;;;;Si;Si;Si;200;Si;Si;Si;Si;Si;Si;Si
;;;Palestra;;;;190;Si;25;13;7;;;Si;Si;Si;;;Si;Si;Si;Si;No;No
;;;Piscina;;;;200;;;;;;;;;;;;;;;;;
;LIBERI;1.221;;;;;;No;30;20;;;;Si;Si;Si;;;;Si;Si;Si;Si;Si
81040;;;COMPLESSO SPORTIVO;Via Fontana S. Lazzaro;Pubblica;Si;;;;;;;;;;;;;;;;;;
;;;Struttura polivalente: Campo di Calcio;;;;30;No;90;45;;;;Si;Si;Si;;;;Si;;Si;Si;Si
;;;Tennis;;;;320;No;34;18;;;;Si;;Si;;;;Si;;Si;Si;No
81040;;;Scuola Media;Via Provinciale;Pubblica;;170;Si;25;13;6,3;;;Si;;Si;;;;;Si;;Si;No
81040;;;Polivalente;Fraz. Profeti;Pubblica;;190;;;;;;;;;;;;;;;;;
81030;LUSCIANO;13.124;Campo comunale;Via Verdi - tel.0818144961;Pubblica;;30;No;108;68;;;;Si;Si;Si;;;;Si;;;Si;Si
81030;;;Scuola Media Foscolo;v. della Resistenza - tel.0818148563;Pubblica;;190;Si;27;12;7;;;Si;;Si;;;;;;;Si;No
81030;;;COMPLESSO SPORTIVO;v. della Resistenza - tel.0818141822;Pubblica;Si;;;;;;;;;;;;;;;;;;
;;;Scuola Elementare: Palestra;;;;190;Si;15;7;4;;;Si;;Si;;;;;Si;;Si;No
;;;Palestra;;;;190;Si;20;8;5;;;Si;;Si;;;;;Si;;Si;No
81047;MACERATA  CAMPANIA;10.124;COMPLESSO SPORTIVO;Via Garibaldi - tel. 0823896634;Pubblica;Si;;;;;;;;;;;;;;;;;;
;;;Campo di pallacanestro;;;;150;No;26;14;;;;Si;;Si;;;;;;;Si;No
;;;Campo di calcio a 5;;;;40;No;30;22;;;;Si;;Si;;;;Si;;;Si;Si
81047;;;COMPLESSO SPORTIVO;v. Martiri di Cefalonia- tel 0823896634;Pubblica;Si;;;;;;;;;;;;;;;;;;
;;;Pista di Atletica Leggera;;;;12;No;400;7,32;;;;Si;;Si;360;Si;;;;;Si;No
;;;Campo di calcio;;;;30;No;108;65;;;;Si;;Si;360;Si;;;;Si;Si;No
81047;;;COMPLESSO SPORTIVO;Via Garibaldi - tel. 0823694024;Pubblica;Si;;;;;;;;;;;;;;;;;;
;;;Bocciodromo comunale;;;;60;Si;24,5;2,5;4;;;Si;Si;Si;;;;Si;;;Si;Si
81047;;;Scuola Media Pascoli;Via Mazzini - tel. 0823896634;Pubblica;;170;Si;24;12;6;;;Si;Si;Si;;;;Si;Si;Si;Si;No
;;;Palestra;;;;190;;;;;;;;;;;;;;;;Si;No
81047;;;Scuola Elementare Matteotti;Via Roma - tel. 0823692435;Pubblica;;170;Si;25;17;6;;;Si;Si;Si;70;Si;;Si;;Si;Si;No
;;;Palestra;;;;190;;;;;;;;;;;;;;;;;
81024;MADDALONI;37.196;Palazzetto dello Sport;Variante Maddaloni-tel.0823434641;Pubblica;;157;Si;27;34;11,75;;;Si;Si;Si;1.000;Si;Si;Si;Si;Si;Si;Si
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
81024;;;Stadio Com.le Cappuccini;Via Campo sportivo;Pubblica;;30;No;103;61;;;;Si;;Si;300;Si;;Si;Si;Si;Si;Si
81024;;;Scuola Elementare I° Circ.;Via Roma - tel. 0823434138;Pubblica;;170;Si;24;12;6;;;Si;;Si;;;;Si;Si;Si;Si;No
;;;Palestra;;;;190;;;;;;;;;;;;;;;;;
81024;;;Scuola Elementare II° Circ.;Via Feudo - tel. 0823202050;Pubblica;;170;Si;30;15;7;;;Si;;Si;;;;;Si;;Si;No
;;;Palestra;;;;190;;;;;;;;;;;;;;;;;
81024;;;Scuola Elementare III° Circ.;Via Campolongo - tel. 0823408561;Pubblica;;170;Si;26;13;6;;;Si;;Si;;;;;Si;;Si;No
;;;Palestra;;;;190;;;;;;;;;;;;;;;;;
81024;;;Convitto Nazionale;Via S. Francesco - tel. 0823434918;Pubblica;;30;No;90;45;;;;Si;;Si;;;;;;;Si;No
81024;;;Scuola Media Moro;Via Napoli - tel. 0823402093;Pubblica;;150;Si;20;16;7;;;Si;;Si;;;;;Si;;Si;No
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
81024;;;Scuola Media Settembrini;Via Bracciame - tel. 0823408721;Pubblica;;150;No;28;15;;;;Si;;Si;;;;;Si;Si;Si;No
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
;;;Palestra;;;;190;;;;;;;;;;;;;;;;;
81024;;;Scuola Media;Via S. Francesco - tel. 0823407531;Pubblica;;150;Si;28;18;7;;;Si;Si;Si;100;Si;;Si;Si;Si;Si;No
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
81024;;;Liceo Ginnasio Bruno;Via Gallozzi - tel. 0823434521;Pubblica;;170;Si;24;12;6;;;Si;;Si;;;;;Si;;Si;No
;;;Palestra;;;;190;;;;;;;;;;;;;;;;;
81024;;;Liceo Scientifico Cortese;Via Starza - tel. 0823408564;Pubblica;;170;Si;26;14;5,5;;;Si;;Si;;;;;Si;Si;Si;No
;;;Palestra;;;;190;;;;;;;;;;;;;;;;;
81024;;;Ist. Magistrale Don Gnocchi;Via Cupa Lunga - tel. 0823203019;Pubblica;;170;Si;20;12;6;;;Si;;Si;;;;;Si;;Si;No
;;;Palestra;;;;190;;;;;;;;;;;;;;;;;
81024;;;PalaFeudo Brancaccio;Via Feudo   ;Pubblica;;;;;;;;;;;;;;;;;;;
81024;;;N. 2 Palestre L. Settembrini;Via Brecciame;Pubblica;;190;;;;;;;;;;;;;;;;;
81024;;;Palestra A: Moro;Via Viviani;Pubblica;;190;;;;;;;;;;;;;;;;;
81024;;;Palestra E: de Nicola;Via F. D'Assisi;Pubblica;;190;;;;;;;;;;;;;;;;;
81024;;;Palestra Lambruschini;Via Campolongo;Pubblica;;190;;;;;;;;;;;;;;;;;
81024;;;Palestra Via Cancello;Via Cancello  ;Pubblica;;190;;;;;;;;;;;;;;;;;
81025;MARCIANISE;39.878;Velodromo;Via L. Da Vinci - tel. 0823826023;Pubblica;;251;No;285,71;;;;;Si;Si;Si;1.000;Si;Si;Si;Si;Si;Si;Si
81025;;;Campo di calcio Progreditur;P.zza Vittoria - tel. 0823826023;Pubblica;;30;No;110;68;;;;Si;Si;Si;1.920;Si;Si;Si;Si;Si;Si;Si
81025;;;Palestra Zinzi;Via Fuccia, 1;Pubblica;;370;Si;10;10;5;;;Si;Si;Si;;;;Si;Si;;Si;Si
81025;;;Palestra Medaglie d'Oro;Via G. D'Annunzio;Pubblica;;370;Si;10;10;5;;;Si;Si;Si;100;Si;;Si;Si;Si;Si;Si
81025;;;Scuola Elementare I° Circ.;Via S. Caterina - tel. 0823516673;Pubblica;;190;Si;22;15;5;;;Si;Si;Si;;;;Si;Si;;Si;No
81025;;;Scuola Elementare II° Circ.;Via Lener - tel. 0823516139;Pubblica;;150;Si;36;17;5;;;Si;Si;Si;;;;Si;Si;;Si;No
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
81025;;;Scuola Elementare III° Circ.;Via D'Annunzio - tel. 0823832363;Pubblica;;190;Si;24;12;5;;;Si;Si;Si;;;;Si;Si;;Si;No
81025;;;Scuola Media S. Giovanni B.;Via De Felice - tel. 0823635253;Pubblica;;190;Si;18;9;6;;;Si;Si;Si;;;;Si;Si;;Si;No
81025;;;Scuola Media Cavour;Via Mattarella - tel. 0823635255;Pubblica;;170;Si;24;12;4,5;;;Si;Si;Si;;;;Si;Si;Si;Si;No
;;;Palestra;;;;190;;;;;;;;;;;;;;;;;
81025;;;Scuola Media Moro;Via Tagliamento - tel. 0823516047;Pubblica;;150;Si;30;15;4,5;;;Si;;Si;;;;;Si;;Si;No
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
81025;;;Liceo Scientifico Quercia;Via F. Gemma - tel. 0823824934;Pubblica;;150;Si;32;24;4,5;;;Si;;Si;;;;Si;Si;Si;Si;No
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
81025;;;Scuola Magistrale Novelli;Via G.B. Novelli - tel. 0823511909;Pubblica;;170;Si;28;15;4,5;;;Si;;Si;;;;;Si;;Si;No
81025;;;ITIS Ferraris;Via Mattarella - tel. 0823824172;Pubblica;;150;Si;29;18;6;;;Si;Si;Si;200;Si;Si;Si;Si;Si;Si;No
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
81025;;;Ist. Tec. Geometri Lener;Via S. G. Bosco - tel. 0823831793;Pubblica;;150;Si;35;20;6;;;Si;;Si;;;;;Si;;Si;No
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
81035;MARZANO APPIO;3.110;Stadio comunale;Via Annunziata - tel. 0823927606;Pubblica;;30;No;106;63;;;;Si;;Si;460;Si;;Si;;Si;Si;Si
81035;;;Scuola Media Don Milani;Via Calderoni - tel. 0823927890;Pubblica;;170;No;47;15;;;;Si;;Si;;;;Si;;Si;Si;No
81049;MIGNANO MONTELUNGO;3.310;Campo sportivo comunale;Via Sessa - tel. 0823904690;Pubblica;;30;No;100;60;;;;Si;;Si;;;;;;;Si;No
81049;;;Campo polivalente coperto;Via Sessa;Pubblica;;40;Si;27,5;48,5;7;;;Si;Si;Si;252;Si;Si;Si;Si;Si;Si;No
;;;Pallacanestro;;;;150;;;;;;;;;;;;;;;;;
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
81049;;;Scuola Elementare;P.zza Martiri;Pubblica;;170;Si;24;12;5,8;;;Si;;Si;;;;;;;Si;No
;;;Palestra;;;;190;;;;;;;;;;;;;;;;;
81049;;;Scuola Media Cederle;Via Sessa - tel. 0823904424;Pubblica;;170;Si;24;12;6;;;Si;;Si;;;;;;;Si;No
;;;Palestra;;;;190;;;;;;;;;;;;;;;;;
81034;MONDRAGONE;24.028;Bocce comunali;Via Margherita - tel. 0823979160;Pubblica;;60;No;27;3,5;;;;Si;;Si;;;;Si;;;Si;Si
81034;;;Stadio comunale;Via Padula - tel. 0823979160;Pubblica;;30;No;113;70;;;;Si;Si;Si;600;Si;;Si;;Si;Si;Si
81034;;;Palestra polivalente: Pallacanestro;Via Oleandri;Pubblica;;150;Si;32;19;10,5;;;Si;Si;Si;1.070;Si;Si;Si;Si;Si;No;No
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
81034;;;Scuola Elementare I° Circ.;P.le Rodari - tel. 0823978081;Pubblica;;150;Si;32;16;5;;;Si;Si;Si;;;;Si;Si;Si;Si;No
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;Si;No
81034;;;Scuola Elementare II° Circ.;Via degli Oleandri - tel. 0823978771;Pubblica;;190;Si;22;12;5;;;Si;Si;Si;;;;Si;Si;Si;Si;No
81034;;;Scuola Media Buonarroti;Via Como - tel. 0823978308;Pubblica;;150;Si;32;16;5;;;Si;Si;Si;;;;Si;Si;Si;Si;No
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
81034;;;Scuola Media Da Vinci;Rione Amedeo - tel. 0823978080;Pubblica;;190;Si;20;12;4,8;;;Si;Si;Si;;;;Si;Si;Si;Si;No
81034;;;Liceo Scientifico Galilei;Via Napoli - tel. 0823979144;Pubblica;;190;Si;17;11;5,5;;;Si;;Si;;;;Si;Si;Si;Si;No
81034;;;ITC Stefanelli;Via Rocca Dragoni - tel. 0823970718;Pubblica;;150;Si;32;22;6;;;Si;Si;Si;;;;Si;Si;Si;Si;No
;;;Pallavolo;;;;170;;;;;;;;;;;;;;;;;
81030;ORTA  DI  ATELLA;13.082;Palazzetto dello Sport;Via R. Sanzio - tel. 0815023767;Pubblica;;150;Si;28;15;7;;;Si;Si;Si;250;Si;Si;Si;Si;Si;Si;No
81030;;;Campo di calcio;Via A. De Curtis;Pubblica;;30;;;;;;;;;;;;;;;;;
81030;;;Campo di bocce;Via A. De Curtis;Pubblica;;60;;;;;;;;;;;;;;;;;
81030;;;Campo di calcetto;Via A. De Curtis;Pubblica;;40;;;;;;;;;;;;;;;;;
81030;;;Campo comunale;Via Campo sportivo;Pubblica;;30;No;105;60;;;;Si;Si;Si;500;Si;Si;Si;Si;Si;Si;Si
81030;;;Soc. Bocciofila S. Massimo;I° Traversa G. Verdi;Pubblica;;60;Si;27;3,5;5,5;;;Si;Si;Si;;;;Si;Si;Si;Si;Si
81030;;;Scuola Media Stanzione;V.le Petrarca - tel. 0818917162;Pubblica;;170;Si;25;18;5,5;;;Si;;Si;;;;;Si;;Si;No
;PARETE;10.325;COMPLESSO SPORTIVO;;Pubblica;Si;;;;;;;;;;;;;;;;;;
81030;;;Palestra;Via Cedrale - 0815015300;Pubblica;;190;No;28;19,5;;;;Si;;Si;;;;;;Si;Si;No
;;;Bocce;;;;60;No;23,5;3;;;;Si;;Si;;;;;;Si;Si;No
